|Assets                         |Constants                  |Fonts   |Functions                             |Objects                  |Sounds                    |Sprites                        |Variables               |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|AcidStreak                     |asset_font                 |fntChat |abs                                   |AcidStreak               |amb0                      |OLDoutWall                     |background_color        |
|Ally                           |asset_object               |fntL    |alarm_get                             |Ally                     |amb0b                     |mskAlly                        |bbox_bottom             |
|AllyBullet                     |asset_path                 |fntM0   |alarm_set                             |AllyBullet               |amb0c                     |mskBandit                      |bbox_left               |
|AllyDamage                     |asset_room                 |fntSmall|angle_difference                      |AllyDamage               |amb1                      |mskBanditBoss                  |bbox_right              |
|AmbVolSlider                   |asset_script               |        |ansi_char                             |AmbVolSlider             |amb100                    |mskBigMaggot                   |bbox_top                |
|AmmoChest                      |asset_sound                |        |arccos                                |AmmoChest                |amb101                    |mskBigRad                      |crown_current           |
|AmmoChestMystery               |asset_sprite               |        |arcsin                                |AmmoChestMystery         |amb102                    |mskBigSkull                    |current_delay           |
|AmmoPickup                     |asset_timeline             |        |arctan                                |AmmoPickup               |amb103                    |mskBolt                        |current_frame           |
|Anchor                         |asset_unknown              |        |arctan2                               |Anchor                   |amb104                    |mskBonePile                    |current_time            |
|AssassinNotice                 |bm_add                     |        |area_get_background_color             |AssassinNotice           |amb105                    |mskBones                       |current_time_scale      |
|AudioMenuButton                |bm_dest_alpha              |        |area_get_shadow_color                 |AudioMenuButton          |amb106                    |mskBouncerBullet               |depth                   |
|AutoAimUpDown                  |bm_dest_color              |        |array_clear                           |AutoAimUpDown            |amb2                      |mskBullet1                     |direction               |
|BECOMETARGET                   |bm_dest_colour             |        |array_clone                           |BECOMETARGET             |amb3                      |mskBullet2                     |fntBigName              |
|BSkinLoadout                   |bm_inv_dest_alpha          |        |array_copy                            |BSkinLoadout             |amb4                      |mskCrown                       |fntM                    |
|BUnlockScreen                  |bm_inv_dest_color          |        |array_create                          |BUnlockScreen            |amb5                      |mskCrownPed                    |friction                |
|Back                           |bm_inv_dest_colour         |        |array_equals                          |Back                     |amb6                      |mskDebris                      |game_height             |
|BackCont                       |bm_inv_src_alpha           |        |array_find_index                      |BackCont                 |amb7                      |mskDisc                        |game_letterbox          |
|BackFromCharSelect             |bm_inv_src_color           |        |array_find_index_ext                  |BackFromCharSelect       |mus1                      |mskDogGuardian                 |game_width              |
|BackMainMenu                   |bm_inv_src_colour          |        |array_find_last_index                 |BackMainMenu             |mus100                    |mskEnemyBullet1                |gravity                 |
|Bandit                         |bm_max                     |        |array_find_last_index_ext             |Bandit                   |mus100b                   |mskExploGuardian               |gravity_direction       |
|BanditBoss                     |bm_normal                  |        |array_insert                          |BanditBoss               |mus101                    |mskExploder                    |hspeed                  |
|Barrel                         |bm_one                     |        |array_join                            |Barrel                   |mus102                    |mskExplosion                   |id                      |
|BecomeNothing                  |bm_src_alpha               |        |array_length                          |BecomeNothing            |mus103                    |mskFireBaller                  |image_alpha             |
|BecomeNothing2                 |bm_src_alpha_sat           |        |array_push                            |BecomeNothing2           |mus104                    |mskFlakBullet                  |image_angle             |
|BecomeScrapBoss                |bm_src_color               |        |array_slice                           |BecomeScrapBoss          |mus105                    |mskFloor                       |image_blend             |
|BecomeTurret                   |bm_src_colour              |        |array_sort                            |BecomeTurret             |mus106                    |mskFloorExplo                  |image_index             |
|BigCursedChest                 |bm_subtract                |        |array_sort_sub                        |BigCursedChest           |mus106b                   |mskFloorMiddle                 |image_number            |
|BigDogExplo                    |bm_zero                    |        |asset_get_index                       |BigDogExplo              |mus107                    |mskFreak                       |image_speed             |
|BigFish                        |c_aqua                     |        |asset_get_type                        |BigFish                  |mus1b                     |mskFrogEgg                     |image_xscale            |
|BigFlower                      |c_black                    |        |audio_exists                          |BigFlower                |mus2                      |mskFrogQueen                   |image_yscale            |
|BigGuardianBullet              |c_blue                     |        |audio_get_name                        |BigGuardianBullet        |mus3                      |mskGuardianBullet              |json_error              |
|BigMaggot                      |c_dkgray                   |        |audio_get_type                        |BigMaggot                |mus3b                     |mskGuardianIdle                |json_error_text         |
|BigMaggotBurrow                |c_fuchsia                  |        |audio_is_paused                       |BigMaggotBurrow          |mus4                      |mskHeavyBolt                   |json_false              |
|BigPortal                      |c_gray                     |        |audio_is_playing                      |BigPortal                |mus5                      |mskHeavyBullet                 |json_true               |
|BigRad                         |c_green                    |        |audio_pause_all                       |BigRad                   |mus5b                     |mskHyperCrystal                |mask_index              |
|BigSkull                       |c_lime                     |        |audio_pause_sound                     |BigSkull                 |mus6                      |mskIcon                        |mouse_delta_x           |
|BigTV                          |c_ltgray                   |        |audio_play_sound                      |BigTV                    |mus7                      |mskJock                        |mouse_delta_y           |
|BigWeaponChest                 |c_maroon                   |        |audio_play_sound_at                   |BigWeaponChest           |mus7b                     |mskLaser                       |mouse_x                 |
|BloodBall                      |c_navy                     |        |audio_resume_all                      |BloodBall                |musBoss1                  |mskLaserCrystal                |mouse_x_nonsync         |
|BloodGamble                    |c_olive                    |        |audio_resume_sound                    |BloodGamble              |musBoss2                  |mskLast                        |mouse_y                 |
|BloodGrenade                   |c_orange                   |        |audio_sound_gain                      |BloodGrenade             |musBoss3                  |mskLilHunter                   |mouse_y_nonsync         |
|BloodLust                      |c_purple                   |        |audio_sound_get_gain                  |BloodLust                |musBoss4A                 |mskLilHunterDie                |object_index            |
|BloodSlash                     |c_red                      |        |audio_sound_get_pitch                 |BloodSlash               |musBoss4B                 |mskLoadoutCrown                |persistent              |
|BloodStreak                    |c_silver                   |        |audio_sound_get_track_position_nonsync|BloodStreak              |musBoss4BSilence          |mskLoadoutSplat                |pickup_chance_multiplier|
|BlueFlame                      |c_teal                     |        |audio_sound_length_nonsync            |BlueFlame                |musBoss4Silence           |mskMaggot                      |room_speed              |
|Bolt                           |c_white                    |        |audio_sound_pitch                     |Bolt                     |musBoss5                  |mskMegaSlash                   |solid                   |
|BoltStick                      |c_yellow                   |        |audio_sound_set_track_position        |BoltStick                |musBoss6                  |mskNone                        |speed                   |
|BoltTrail                      |char_bigdog                |        |audio_stop_all                        |BoltTrail                |musBoss6B                 |mskNothing                     |sprite_height           |
|BoneFish                       |char_chicken               |        |audio_stop_sound                      |BoneFish                 |musBoss7                  |mskNothing2                    |sprite_index            |
|BonePile                       |char_crystal               |        |background_get_texture                |BonePile                 |musBoss8                  |mskNothingActive               |sprite_width            |
|BonePileNight                  |char_eyes                  |        |background_get_uvs                    |BonePileNight            |musBossDead               |mskNothingInactive             |sprite_xoffset          |
|Bones                          |char_fish                  |        |button_check                          |Bones                    |musCredits                |mskNuke                        |sprite_yoffset          |
|BouncerBullet                  |char_frog                  |        |button_check_nonsync                  |BouncerBullet            |musThemeA                 |mskOldGuardianDeflect          |view_object             |
|Breath                         |char_horror                |        |button_pressed                        |Breath                   |musThemeB                 |mskOption                      |view_pan_factor         |
|Bubble                         |char_melting               |        |button_pressed_nonsync                |Bubble                   |musThemeP                 |mskPStat                       |view_shake              |
|BubblePop                      |char_plant                 |        |button_released                       |BubblePop                |sndAllyDead               |mskPickup                      |view_xview              |
|BuffGator                      |char_random                |        |button_released_nonsync               |BuffGator                |sndAllyHurt               |mskPlasma                      |view_xview_nonsync      |
|Bullet1                        |char_rebel                 |        |ceil                                  |Bullet1                  |sndAllySpawn              |mskPlasmaImpact                |view_yview              |
|Bullet2                        |char_robot                 |        |chat_comp_add                         |Bullet2                  |sndAmmoChest              |mskPlayer                      |view_yview_nonsync      |
|BulletHit                      |char_rogue                 |        |chat_comp_add_arg                     |BulletHit                |sndAmmoPickup             |mskPlayerMenu                  |visible                 |
|Burst                          |char_skeleton              |        |chat_comp_clear_arg                   |Burst                    |sndAppear                 |mskPopoExplo                   |vspeed                  |
|Bush                           |char_steroids              |        |chat_comp_remove                      |Bush                     |sndAreaLoaded             |mskPopoPlasmaImpact            |x                       |
